Time,,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
159,Lower,0.038234177824545225,0.13500308724645743,-0.14790506697055633,-0.007226822148721411,0.998941819381632,2.071192042736444e-12,1.804367917132295e-08,0.0020322223761316985
159,Mean,0.03853130944624864,0.2026640522626389,-0.056688862653021144,-0.00253192846562469,0.9994709006679408,1.2860488196114284e-07,0.0005289707271772455,0.002280255849615615
159,Upper,0.03882844106795206,0.27032501727882036,0.03452734166451404,0.002162965217472031,0.9999999819542497,2.5720769273024294e-07,0.0010579234106753198,0.002528289323099532
179,Lower,0.03702434481558405,0.33894323183453745,0.12753617258218578,0.12362054304444116,0.9999999875940279,5.715350973353983e-19,9.09697266955193e-13,0.002253732573598864
179,Mean,0.03770405013136692,0.33900119978384224,0.1763741782509612,0.13391741520403846,0.9999999937965591,1.584796582061006e-13,6.203282474554757e-09,0.002604498709011892
179,Upper,0.038383755447149795,0.339059167733147,0.22521218391973663,0.14421428736363576,0.9999999999990903,3.1695874487710384e-13,1.240565525184256e-08,0.00295526484442492
199,Lower,0.03867485150515952,0.33186672955249635,0.19210356612580345,0.09278451278659335,0.9999999997740758,2.2047933308460842e-23,5.049673320280488e-20,0.0034011218618106433
199,Mean,0.04114569506868407,0.363311712979022,0.23383924879429646,0.11145041382288964,0.9999999998870379,1.926277324763426e-13,1.1276950302344715e-10,0.0034192202645394972
199,Upper,0.0436165386322086,0.39475669640554767,0.27557493146278944,0.13011631485918593,1.0,3.852554649306373e-13,2.2553900599639756e-10,0.0034373186672683512
219,Lower,0.0360188958923162,0.2642262856519138,0.13975473210375813,0.13497182678776226,0.9999587827035367,8.395634291208318e-15,4.754237910905374e-06,0.0019408044306052582
219,Mean,0.03792623959003004,0.2867870060761991,0.1502729371978986,0.16549002096812043,0.9999770142327831,3.4073444220041496e-14,2.2985767182928728e-05,0.002433932345492286
219,Upper,0.03983358328774387,0.3093477265004844,0.16079114229203909,0.19600821514847858,0.9999952457620295,5.975125414887467e-14,4.121729645495208e-05,0.002927060260379314
239,Lower,0.03319694952123696,0.38603273862477844,0.16322576904963326,0.08418299150958321,0.9999894385295747,1.5675218875808244e-18,1.158256754570149e-17,0.002787390539063314
239,Mean,0.0359722167389707,0.3966083827195939,0.24467998564236565,0.13654611459936916,0.9999947192647873,3.3724594247826e-10,5.280397966780178e-06,0.0030149187135523016
239,Upper,0.03874748395670444,0.4071840268144094,0.32613420223509804,0.18890923768915513,1.0,6.744918833889982e-10,1.0560795933548774e-05,0.003242446888041289
259,Lower,0.03216492706204445,0.2607015450766708,0.005064642262257378,-0.008925984238854103,0.9998269481671938,7.728989403449907e-23,1.2192849166986653e-09,0.0017669215934041189
259,Mean,0.03270503339331296,0.2822939696821156,0.07028368851855318,0.013729305211311136,0.9999134734739544,8.624367243364234e-05,2.82853611987359e-07,0.0021575008561474
259,Upper,0.033245139724581464,0.3038863942875604,0.13550273477484898,0.03638459466147637,0.9999999987807151,0.0001724873448672847,5.644879390580193e-07,0.0025480801188906815
279,Lower,0.03312832686542324,0.3819387087559052,0.17688437487002648,0.08161445239333287,0.01139653915897238,1.2098632512560453e-15,3.128417510870037e-14,0.002405735690159798
279,Mean,0.03333879620112613,0.3945583683263405,0.19925714717383708,0.11049658899730236,0.5056982009783644,0.49430173042049874,6.860113690696698e-08,0.0024814165545797204
279,Upper,0.033549265536829014,0.4071780278967759,0.22162991947764765,0.13937872560127185,0.9999998627977564,0.9886034608409963,1.3720224252975885e-07,0.002557097418999643
299,Lower,0.0351442506945364,0.369806067191957,0.12798461510250883,0.000585791799025775,0.020990244110598657,1.0362352962439581e-14,4.1258888140215866e-21,0.002430647698593803
299,Mean,0.035625191121516186,0.40792961924271964,0.19967959380848488,0.060745463813748665,0.5104951220552941,0.4895048778926341,5.2071826197763086e-11,0.002597018197587843
299,Upper,0.03610613154849598,0.4460531712934822,0.2713745725144609,0.12090513582847155,0.9999999999999896,0.9790097557852578,1.0414365239140028e-10,0.002763388696581883
319,Lower,0.03422535102404887,0.4582731687480685,0.26809416283278514,0.09730112330610462,5.230123191467121e-17,2.305571144644029e-07,3.027489396071809e-28,0.0025715489642220463
319,Mean,0.036428012635336654,0.48453474850491374,0.27528592836282373,0.09958142205580972,0.4999998847214387,0.5000001152785573,4.116599689598063e-15,0.0032740891489052553
319,Upper,0.03863067424662443,0.5107963282617589,0.28247769389286226,0.10186172080551482,0.9999997694428774,1.0,8.233199379195822e-15,0.003976629333588464
339,Lower,0.03872937665520689,0.4945115871845345,0.29113089480542714,0.048150594949772446,9.514001348930654e-15,0.9999999999999605,4.061168461413523e-31,0.0029132091921698646
339,Mean,0.041835100970519484,0.5261428392012781,0.3356353070344965,0.14867367884388794,2.45043739939607e-14,0.9999999999999755,3.8941049212053334e-22,0.0047143684397194475
339,Upper,0.04494082528583208,0.5577740912180218,0.38013971926356593,0.24919676273800342,3.9494746638990745e-14,0.9999999999999905,7.7882098383494985e-22,0.00651552768726903
