Time,,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
199,Lower,0.0394760947210143,0.29583068513550004,0.011690314774153018,-0.05495239257248624,0.9999976493611665,5.610767956607952e-17,1.1185477147986407e-11,0.00247044405665148
199,Mean,0.04033542893062049,0.3360434765246564,0.1172464123228959,0.05994601772049671,0.9999988246749905,1.1674499518335288e-06,7.875057641873224e-09,0.0034916813304711972
199,Upper,0.04119476314022668,0.37625626791381267,0.22280250987163877,0.17484442801347966,0.9999999999888145,2.3348999036109497e-06,1.573892980659846e-08,0.0045129186042909145
219,Lower,0.037594396633841384,0.2608227174754546,0.059882401344486164,0.07936746312526319,0.9999369730774827,1.243602772120575e-13,1.8511342135332797e-05,0.002546903440936526
219,Mean,0.03897250946730827,0.29085775298693,0.12073255748186229,0.09657348390431661,0.9999592308481016,1.9634228738311167e-11,4.0769132264068454e-05,0.0025608636558509396
219,Upper,0.04035062230077516,0.3208927884984054,0.18158271361923842,0.11377950468337003,0.9999814886187205,3.914409719941028e-11,6.302692239280411e-05,0.002574823870765353
239,Lower,0.03612126549702174,0.27606795159998665,0.1743004945334626,0.046653670936978614,0.9999947665817923,1.8924585309263784e-14,5.566901923532431e-12,0.0028677839913325213
239,Mean,0.03636784349660342,0.33094874048953626,0.1806620541558179,0.14058242156791612,0.9999973832881033,3.037153011229851e-13,2.6167115930193842e-06,0.0028976418485933504
239,Upper,0.0366144214961851,0.385829529379086,0.1870236137781732,0.2345111721988536,0.9999999999944142,5.885060169367064e-13,5.233417619136845e-06,0.00292749970585418
259,Lower,0.03257043894384818,0.28584695735092785,0.06316791735379734,0.1022655392882423,0.9999792618530491,2.466114607016523e-17,4.0156994022280384e-12,0.00140033417174075
259,Mean,0.03591958700056762,0.3181677061013817,0.15921405990390153,0.12347389293221939,0.9999896309245166,3.772819447726414e-11,1.0369037755174877e-05,0.0024661365468417514
259,Upper,0.03926873505728706,0.35048845485183555,0.2552602024540057,0.14468224657619647,0.9999999999959843,7.545636429338222e-11,2.0738071494650353e-05,0.003531938921942753
279,Lower,0.0355937747664875,0.3149567597946075,0.18256828907469239,0.06423061877494361,0.9999999999999334,5.697702668093718e-28,8.199881204027206e-15,0.0017875789627948293
279,Mean,0.036911299922869095,0.35626140404926177,0.21075207211095698,0.09992517995804007,0.9999999999999626,2.254070317177021e-16,3.716185043506565e-14,0.0021187666151820626
279,Upper,0.03822882507925069,0.397566048303916,0.23893585514722157,0.1356197411411365,0.9999999999999918,4.508140634348345e-16,6.612381966610409e-14,0.0024499542675692964
299,Lower,0.03589079092679575,0.38203078247046657,0.20336037551813727,0.023400729562191108,0.9999764662611688,4.5185230463537044e-08,4.51333766629621e-17,0.0021279678728186196
299,Mean,0.036327638782768706,0.39898289681414206,0.21099313184996604,0.04288984354897353,0.9999882105379686,1.1789462030786994e-05,5.76695949738368e-16,0.0024547046074602005
299,Upper,0.03676448663874166,0.41593501115781756,0.21862588818179482,0.06237895753575595,0.9999999548147684,2.353373883111045e-05,1.1082585228137738e-15,0.0027814413421017813
319,Lower,0.03870138092473447,0.49306919490309653,0.24080332380807395,0.08479769402805691,1.6655040739683792e-12,3.343388690064602e-17,2.664453428707265e-23,0.0028582797555460355
319,Mean,0.0395661149581719,0.5022347734785096,0.26719651706835,0.10430094953774628,0.5000000000008328,0.4999999999991672,1.2257504402497756e-22,0.0029198823931163623
319,Upper,0.040430848991609335,0.5114003520539228,0.2935897103286261,0.12380420504743565,1.0,0.9999999999983344,2.1850555376288246e-22,0.002981485030686689
339,Lower,0.04777432223588123,0.6367010834859135,0.4285121186754644,0.28914482462357965,0.9886469939213783,0.00013241318338425093,9.610805483004447e-28,0.004607100997747577
339,Mean,0.0499082573159787,0.6475818525990975,0.43636563852491284,0.3210360002520261,0.994257290368997,0.005742709631002946,4.114249385953944e-25,0.00569391041946686
339,Upper,0.05204219239607617,0.6584626217122815,0.44421915837436127,0.35292717588047257,0.9998675868166157,0.011353006078621643,8.218887966424884e-25,0.006780719841186143
