Time,,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
119,Lower,0.02599101573039884,-0.1015915439266757,-0.18959698818920362,-0.25797661907290276,0.0024602962906478025,1.4379150991509178e-06,0.9843082900447473,0.0014686544045875813
119,Mean,0.02793186969676146,-0.09366994829500336,-0.1446378948622264,-0.22205019082838204,0.0060140012066420105,0.0030627208738578577,0.9909232779195002,0.0019188960666801855
119,Upper,0.02987272366312408,-0.08574835266333103,-0.09967880153524919,-0.18612376258386132,0.00956770612263622,0.0061240038326165645,0.9975382657942531,0.00236913772877279
139,Lower,0.029430662320445788,-0.1790711443575868,-0.22268797875132157,-0.11699242955991394,1.6441630643772482e-07,0.0012444931300540953,3.2021194531613373e-06,0.002509085477691488
139,Mean,0.030290291780453435,-0.11552205826542114,-0.1813803750304423,-0.10669062778721372,0.013869782532990376,0.5006205632971473,0.4855096541698624,0.0031984668029970678
139,Upper,0.03114992124046108,-0.05197297217325547,-0.14007277130956305,-0.09638882601451351,0.027739400649674315,0.9999966334642405,0.9710161062202717,0.0038878481283026473
159,Lower,0.028321382258161852,-0.24533233705626048,-0.3012657383547641,-0.1541040062354482,2.39310225691355e-12,0.003650369750875101,2.5615935891314002e-08,0.0014609845065624797
159,Mean,0.030915579723343165,-0.14886157012592258,-0.23979031008276677,-0.025327314989163505,6.043706921580788e-05,0.5018251720662731,0.49811439086451115,0.001559661449474298
159,Upper,0.03350977718852448,-0.05239080319558466,-0.17831488181076943,0.1034493762571212,0.0001208741360385135,0.999999974381671,0.9962287561130864,0.001658338392386116
179,Lower,0.02813580018145029,-0.19572787323608223,-0.17964043299235694,-0.13211980432905504,6.490461427892624e-08,0.2382605121977846,0.004862424341611817,0.001322341831735993
179,Mean,0.02856911293929445,-0.19374550682375333,-0.15413648820599962,-0.07269265147232583,0.00018161014309388683,0.6166990114757792,0.3831193783811268,0.0014880052057948986
179,Upper,0.029002425697138602,-0.19176314041142442,-0.12863254341964234,-0.01326549861559661,0.00036315538157349474,0.9951375107537738,0.7613763324206418,0.0016536685798538044
199,Lower,0.031724621060198854,-0.4245864644742381,-0.10113661573517589,-0.066728205112954,7.570011272258898e-10,0.3568494134993136,1.27394498465968e-05,0.0014972279051673019
199,Mean,0.03518723517497924,-0.38614456781396017,-0.05576515614029904,-0.06217886851225554,3.4710162336543464e-05,0.678418336646233,0.3215469531914305,0.002281146849194556
199,Upper,0.03864984928975961,-0.34770267115368225,-0.010393696545422182,-0.057629531911557084,6.94195676719597e-05,0.9999872597931524,0.6430811669330144,0.0030650657932218108
219,Lower,0.03603944267726364,-0.48560507415169357,-0.029456921872348905,-0.05746738897544496,1.6944100735236757e-19,0.8578495624094364,6.219845037794204e-15,0.002714233963136338
219,Mean,0.03707218300897801,-0.4247222244665394,0.00018823789761821322,-0.056417725640040134,1.7321992166758533e-05,0.9289247812047151,0.07105789680311818,0.0031058766980385944
219,Upper,0.038104923340692376,-0.3638393747813853,0.029833397667585332,-0.05536806230463531,3.46439843335169e-05,0.9999999999999938,0.14211579360623014,0.0034975194329408504
239,Lower,0.04666299066873094,-0.6101968919971947,0.06136513982125858,-0.12924399293654057,1.4710669814603255e-26,0.9999999999999671,1.4904958658169612e-21,0.004589331809695056
239,Mean,0.05024865340400146,-0.5831242017650804,0.1461275515044594,-0.04801192361273336,4.758066662876151e-19,0.9999999999999836,1.6469554299210233e-14,0.004966671766940062
239,Upper,0.053834316139271976,-0.556051511532966,0.23088996318766025,0.033220145711073845,9.516133178645603e-19,1.0,3.29391071079246e-14,0.005344011724185069
259,Lower,0.03281566305965339,-0.6231335036513656,-0.017902918111565226,-0.0866167672061347,4.117673251466779e-32,0.9999956017371578,3.7990500021426554e-27,0.001953564549888946
259,Mean,0.04641844647573744,-0.5432336487777337,0.11730692669638478,-0.055363248471847246,5.179267453086062e-11,0.9999978008685789,2.199079628339063e-06,0.0036157914051920042
259,Upper,0.060021229891821494,-0.4633337939041019,0.25251677150433477,-0.024109729737559784,1.0358534906172124e-10,1.0,4.398159256678126e-06,0.005278018260495062
279,Lower,0.056045481432100315,-0.6435555292286039,0.20089119065105285,-0.1646128404008418,2.3523333365867024e-25,0.9999999999999973,1.7601172181463839e-22,0.0074030157053437545
279,Mean,0.057474544268217326,-0.6334834988458733,0.24035990634634413,-0.11654460544340076,2.8923195443966597e-19,0.9999999999999987,1.2844775715569296e-15,0.007539479777135945
279,Upper,0.05890360710433434,-0.6234114684631425,0.27982862204163544,-0.06847637048595974,5.784636736459983e-19,1.0,2.568954967102137e-15,0.007675943848928135
299,Lower,0.07125829720075184,-0.6854792979682007,0.37324477485515195,-0.29317883983603404,3.3329084716944697e-32,1.0,2.7326127665548566e-29,0.007331037403984966
299,Mean,0.07196997398104898,-0.6534899110772396,0.4216123715331428,-0.29088507465121627,3.573308622998462e-22,1.0,2.6092064547939983e-18,0.010884159197306516
299,Upper,0.07268165076134613,-0.6215005241862788,0.46997996821113364,-0.28859130946639844,7.146617245663633e-22,1.0,5.218412909560671e-18,0.014437280990628064
319,Lower,0.06463344015198655,-0.6993794309712529,0.32744061313999445,-0.20760710420844095,9.645017442881118e-28,1.0,3.850308002912836e-25,0.0061046486061733
319,Mean,0.06704576318439387,-0.6812342449085592,0.362217433247768,-0.17079054293547202,5.517292673352555e-24,1.0,3.053510658832573e-19,0.008164942757110927
319,Upper,0.06945808621680119,-0.6630890588458656,0.3969942533555415,-0.1339739816625031,1.1033620844960822e-23,1.0,6.107017467357142e-19,0.010225236908048555
