,Quantile,Time,Variance
0,0.05,199.0,0.0002123511534524974
1,0.05,201.0,0.00021668467085122367
2,0.05,203.0,0.0002138520768853131
3,0.05,205.0,0.00021218096540120032
4,0.05,207.0,0.0002053156222949925
5,0.05,209.0,0.00020042992765961637
6,0.05,211.0,0.00021092591249072335
7,0.05,213.0,0.0002137002369404915
8,0.05,215.0,0.00020578333232236016
9,0.05,217.0,0.0002133463169096615
10,0.05,219.0,0.00020912159965430434
11,0.05,221.0,0.00020838195938258016
12,0.05,223.0,0.00021299021352542735
13,0.05,225.0,0.00020943936514521486
14,0.05,227.0,0.00021038049934819046
15,0.05,229.0,0.00021306290025927452
16,0.05,231.0,0.00021257523451716055
17,0.05,233.0,0.0002057052447756884
18,0.05,235.0,0.00021440526748280737
19,0.05,237.0,0.00021311563237656558
20,0.05,239.0,0.00021275895219504356
21,0.05,241.0,0.00021347509344533578
22,0.05,243.0,0.00021337579154917928
23,0.05,245.0,0.00022013557119365161
24,0.05,247.0,0.0002174338855965627
25,0.05,249.0,0.0002300649258254395
26,0.05,251.0,0.00024432201534444826
27,0.05,253.0,0.00023060989857584253
28,0.05,255.0,0.00023847274882619776
29,0.05,257.0,0.00023691336657414894
30,0.05,259.0,0.00024072451236373417
31,0.05,261.0,0.00023339570902275046
32,0.05,263.0,0.00024360893101950116
33,0.05,265.0,0.00023464621870140787
34,0.05,267.0,0.00024144978651572166
35,0.05,269.0,0.00023705541475284783
36,0.05,271.0,0.00024554911424385056
37,0.05,273.0,0.0002500477125947267
38,0.05,275.0,0.00023652147880085292
39,0.05,277.0,0.00024700398991393547
40,0.05,279.0,0.00026256248213342084
41,0.05,281.0,0.00030798612818958915
42,0.05,283.0,0.0003293789622289153
43,0.05,285.0,0.00033406100429047675
44,0.05,287.0,0.0003425650552555679
45,0.05,289.0,0.00034335227752668973
46,0.05,291.0,0.0003231003378955973
47,0.05,293.0,0.0003222555880300384
48,0.05,295.0,0.0003234832011816939
49,0.05,297.0,0.00032283904392007396
50,0.05,299.0,0.0003232998074655238
51,0.05,301.0,0.000335783477752032
52,0.05,303.0,0.00033510590049655616
53,0.05,305.0,0.00033792808088056796
54,0.05,307.0,0.00033663808535485274
55,0.05,309.0,0.0003395711503023516
56,0.05,311.0,0.00035545607653405745
57,0.05,313.0,0.0003659759343385881
58,0.05,315.0,0.0003812890867472893
59,0.05,317.0,0.00035844460869628
60,0.05,319.0,0.00037442857262179514
61,0.05,321.0,0.00035631074049022424
62,0.05,323.0,0.0004105410311275061
63,0.05,325.0,0.0003991860255448635
64,0.05,327.0,0.00039477388230073416
65,0.05,329.0,0.0004252967203390421
66,0.05,331.0,0.0004631687657190342
67,0.05,333.0,0.0005562819684296291
68,0.05,335.0,0.000618714089998857
69,0.05,337.0,0.0007695267470023692
70,0.05,339.0,0.0009189997138226332
71,0.25,199.0,0.00023307785089721046
72,0.25,201.0,0.00023417210296746647
73,0.25,203.0,0.00022801868386601096
74,0.25,205.0,0.0002275538145894463
75,0.25,207.0,0.00022653580466157065
76,0.25,209.0,0.00022770533537169938
77,0.25,211.0,0.0002338731994174824
78,0.25,213.0,0.00023484249355455635
79,0.25,215.0,0.00022708266769614802
80,0.25,217.0,0.0002321191740160219
81,0.25,219.0,0.000229552878625324
82,0.25,221.0,0.0002244392980530012
83,0.25,223.0,0.0002303918367022173
84,0.25,225.0,0.00023380296050258518
85,0.25,227.0,0.00022968193183730022
86,0.25,229.0,0.0002371822264861187
87,0.25,231.0,0.00023274200018823254
88,0.25,233.0,0.00022443554435178618
89,0.25,235.0,0.000234371610592793
90,0.25,237.0,0.00023515725866803556
91,0.25,239.0,0.00023741331981083985
92,0.25,241.0,0.00024030775709181005
93,0.25,243.0,0.0002346441452397127
94,0.25,245.0,0.0002399461259731205
95,0.25,247.0,0.00023919640529740968
96,0.25,249.0,0.00025263622673816013
97,0.25,251.0,0.00027151482144110637
98,0.25,253.0,0.0002690156458787213
99,0.25,255.0,0.0002603325407559439
100,0.25,257.0,0.00026567640955373544
101,0.25,259.0,0.0002661208478685062
102,0.25,261.0,0.0002600097917670943
103,0.25,263.0,0.0002687858488413481
104,0.25,265.0,0.000254484338304277
105,0.25,267.0,0.00025966089708969744
106,0.25,269.0,0.0002668253733476169
107,0.25,271.0,0.00026614770780847595
108,0.25,273.0,0.0002671294310809883
109,0.25,275.0,0.0002720501817965151
110,0.25,277.0,0.000270523716965806
111,0.25,279.0,0.0002879915381277017
112,0.25,281.0,0.00034019225745809175
113,0.25,283.0,0.00036304600025007465
114,0.25,285.0,0.00037153779084039677
115,0.25,287.0,0.000377553929849447
116,0.25,289.0,0.0003854302076684686
117,0.25,291.0,0.0003761492040294888
118,0.25,293.0,0.00036715197876511325
119,0.25,295.0,0.0003592925960431382
