Time,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
79,1,0.04163546683286766,0.22936138880950407,-0.08169942564207776,-0.1702443723190817,9.920638180412152e-07,0.9999989008450096,1.070911723442399e-07,0.005215023392446679
79,2,0.03931324082598775,0.09193297583058553,0.011898138056527147,0.011569980570423325,0.0013050038430868893,0.9957149477703077,0.002980048386605511,0.0017109417832609874
99,1,0.03978639575996682,0.28880787038685707,0.09541611900687308,-0.0726165938186984,0.9997103645304122,1.0015019609126673e-05,0.0002796204499787782,0.0039024629098584223
99,2,0.03297614344502687,0.06687351363589218,0.2264310498441429,-0.007667038266923523,3.781889189478218e-07,0.9999891950601374,1.0426750943509822e-05,0.0026055855156379938
119,1,0.05130590453388769,0.4077025485551067,0.1440970347898897,0.03375182137984128,0.7519070581959589,0.24158166338043055,0.006511278423610577,0.0044419081962961664
119,2,0.044811051735519435,0.3470293438631445,0.08056363186730256,0.004309635241917096,0.9999980117637925,2.369894702263135e-07,1.7512467371956541e-06,0.00542306858128262
139,1,0.03970315806200811,0.3910376343665335,0.19270465607099518,0.04030762995476219,0.999887325429694,3.546698911828832e-05,7.720758118777963e-05,0.0036482908371832873
139,2,0.04618270311255568,0.40181717346892926,0.2326358191593955,0.15211666683011935,0.9986210275789692,0.0013789724210308753,3.3069529880225913e-19,0.005744312532095537
159,1,0.031726274174051515,0.1720899208919309,-0.018087689877223475,0.07138336560175007,0.863521323471908,0.008367912204399619,0.12811076432369223,0.00201440741494559
159,2,0.035193883836875814,0.35220194725544574,0.05237810350439898,0.007560265964382825,0.1518551765902816,0.8478150753095515,0.00032974810016684133,0.0022175137700163948
179,1,0.035037157830590186,0.06463596196561229,-0.102883924867179,0.10416131750632844,0.7655170363493226,0.0008205887903759103,0.23366237486030164,0.0027108780993216897
179,2,0.0308888396966816,0.2877190135313594,-0.023824422525532192,-0.04158784955078665,0.9484498875305208,0.00023318818787803431,0.05131692428160109,0.002336867813661995
199,1,0.035984239904476016,0.07908464534638077,0.17713802773759593,0.2348907803584596,0.9938492130235018,0.0007331871660421822,0.005417599810455964,0.004844805286235355
199,2,0.037808422937888324,0.10196212619903262,0.15773792243608428,0.21741318790997355,0.7454896379020293,0.030338306669946784,0.2241720554280239,0.003984884132806533
219,1,0.029021114571071354,0.03398971181289458,0.037208528864677716,0.13732817981944953,0.023062709837028163,0.005515807978507926,0.9714214821844639,0.002232240723720997
219,2,0.02194379735910487,0.16712536597058625,-0.23066415077442137,-0.15301853941270052,1.2867335201608856e-08,0.9999999760891581,1.1043506731028237e-08,0.0025103299789942276
239,1,0.030918207172076634,0.18285000479175834,0.10670649011797835,0.09161461040719263,0.998886142278101,0.0011137721271046932,8.559479410545702e-08,0.0025182339759289647
239,2,0.03588431288277403,0.1502941722683796,0.20680535240428896,0.23024641213498806,0.999946993622811,6.31847543736019e-06,4.668790175154539e-05,0.00500337556252339
259,1,0.029682352391348955,0.2153130009336457,0.07170363382790867,0.19382380849520708,0.9108769189810906,0.010623271471079013,0.07849980954783042,0.0035237828226351237
259,2,0.02834852196210674,0.3390446223079752,0.09760249799258694,0.11481546411532516,0.9399924765133405,3.3600265305738596e-06,0.06000416346012891,0.002423105510042903
279,1,0.029967879085897087,0.4157959491750552,0.16076838957315776,-0.015845548883151976,4.8362035344313944e-20,1.0,1.5885640629336687e-26,0.0034052326515858146
279,2,0.028926886995635184,0.5090304211953698,0.26483561083355905,0.1097270772629591,1.696756985164105e-06,0.9999983031424885,1.0052636973561147e-10,0.0027669591290106045
299,1,0.04044470914779888,0.5347493055414474,0.40377154958974143,0.11349345499519459,5.331345339544109e-32,1.0,1.2167799045326647e-37,0.009742795731272404
299,2,0.035507961323438045,0.546200501404687,0.3277009668643188,0.11739248997247065,2.5007433468170454e-20,1.0,1.447625756673879e-24,0.005936901433139936
319,1,0.03788257023487088,0.6560092570115325,0.3277950095263022,0.08664167540800752,1.0407257198443136e-16,1.0,4.610628973395691e-21,0.007529302386061515
319,2,0.039763236247692076,0.6324109475195443,0.42591433543012414,0.1708455027869396,6.192268235097838e-11,0.9999999999380773,6.071467337251408e-19,0.005532431568246059
339,1,0.05617485162354264,0.7409447335210997,0.5488864372390265,0.38972303178889844,0.9634704135265222,0.03652958647347723,5.396730285567896e-16,0.005191724835927807
339,2,0.04079217917624806,0.6256359066670484,0.40728437799687583,0.19367043896527097,0.9999999889714605,1.1028110965865123e-08,4.284794309647783e-13,0.006618274852489141
