Time,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
199,1,0.03889588843034603,-0.31148560354152094,-0.03670349113642649,-0.09137276540147381,5.572845626974687e-15,0.999999975727271,2.4272723550588412e-08,0.0021695757813020356
199,2,0.03456978379133492,-0.16252922835726089,-0.03980878840289701,-0.17107432119083862,2.940206424321889e-06,0.9224271988687341,0.07756986092484137,0.002327641672287499
219,1,0.03445125907113114,-0.09323551673105276,-0.11487197486793169,-0.13847554540573073,3.68085439217025e-05,6.023203998915643e-06,0.9999571682520795,0.0016801351015252866
219,2,0.03258856852763313,0.10636456079308935,-0.11235745550027028,-0.17410942721921244,0.3420004881390284,7.498754308838174e-08,0.6579994368734285,0.002093761163705528
239,1,0.0528304090575754,-0.5622725578039195,0.15667310300281145,-0.018611695953967448,2.3999475939835753e-29,1.0,1.6509960857655436e-23,0.003355061407003005
239,2,0.04906487784081717,-0.40445914757259477,0.07927567413045121,-0.09695780063680409,1.2454165500190393e-21,0.9999999999999989,1.0841032649550495e-15,0.004067548632696956
259,1,0.039875848738425874,-0.32757575276800877,0.0350382121939403,-0.13867158111289105,3.7056859772595914e-21,0.9999999999999813,1.8626910028273106e-14,0.002666562372732115
259,2,0.03866324823583311,-0.3443527820107437,0.013328112405026795,-0.10886931002473794,5.097788475295897e-19,0.9999999999985525,1.4474964215171877e-12,0.003036076533710603
279,1,0.04596542233314367,-0.5346565825986277,0.3087824129656737,-0.21368614525754245,2.2856939817752066e-22,1.0,1.4156323419101444e-17,0.003122164465719664
279,2,0.037827074830953766,-0.2965827492213946,0.0533672128846195,-0.04465812754091885,1.9532488648625293e-11,0.9987046863246458,0.0012953136558215624,0.0012851564801876067
299,1,0.04698913071686044,-0.5114716250123837,0.0922021071340265,0.020837630016056402,1.074249955836542e-27,1.0,1.4573934237514641e-21,0.003313272377401371
299,2,0.04936130220051452,-0.517200939732698,0.1955498703970339,-0.19435766742444127,8.182683463651716e-32,1.0,6.4339510921482625e-27,0.004676715443295457
319,1,0.06964697833347275,-0.6675056624718196,0.41911457165134297,-0.31169047047429516,1.1943105395841057e-45,1.0,3.43349445503381e-42,0.009192843572782746
319,2,0.0661099342882528,-0.6556051162991113,0.3321182022204267,-0.08088688209912337,7.562204877910706e-40,1.0,1.2252072226066242e-35,0.0075539460668199825
