Time,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
79,1,0.03683878652735352,0.16858552024220838,-0.015111452758626588,0.00703436940868764,0.9590237876009844,7.862230596431899e-05,0.04089759009305115,0.003462371706571475
79,2,0.03590220640977718,0.1790894598238936,-0.09349885330153017,-0.0655587637577533,0.9768303365387799,0.01969202766227098,0.0034776357989491327,0.0030244927609436706
99,1,0.03947438899487912,0.2532187399373508,0.08685483030199116,-0.1544793345318346,0.9968977397429296,0.00013316948013644556,0.0029690907769340216,0.0038789494697576343
99,2,0.03934626201272587,0.27358363215768056,0.051143179960629025,0.0034087521809706253,0.03496517181719739,0.9650085591894809,2.6268993321712125e-05,0.0033265654233288057
119,1,0.04359774799949057,0.3683197002702367,0.1885310404137571,0.07253349173217814,0.9999999999917999,4.136724046288372e-15,8.19596854734533e-12,0.004062990727104081
119,2,0.03733336258152575,0.23077568412792726,-0.15362360839608297,-0.1495071967347602,0.9968372924518932,0.0005386049721824453,0.0026241025759243136,0.0026606720832910115
139,1,0.036270573469009686,0.31673333144584975,0.12647645599745658,-0.0034984097291306335,1.8844914207189257e-16,0.9999999999999998,5.199097200669769e-19,0.005571041641321232
139,2,0.03897444090675921,0.34715600107784794,0.18938927647686943,0.013398386617861581,0.38494421305759163,0.6145638353549316,0.0004919515874767686,0.0029099048671779033
159,1,0.029193973977744075,0.05868971699661462,-0.14245540639821144,-0.02498822241462768,0.05869250402916443,0.6653514094849818,0.27595608648585385,0.0019440292757662817
159,2,0.03556970755414683,0.3651570737944678,0.17532972270018013,0.016352861716890585,1.6328738299461402e-07,0.9999998367126164,6.059853363073584e-16,0.0033062671255881205
179,1,0.033828690593558426,0.20076549335610783,0.12270161503070667,0.07359346185582202,6.296032468835471e-05,0.9999361603422511,8.793330605069764e-07,0.004277516717463554
179,2,0.033236932568090544,0.23248252110612636,0.008008681217885526,-0.06019514747800664,0.8950913842809811,0.04218326812926322,0.06272534758975559,0.003299063767401902
199,1,0.03416395705959299,0.2567673806288164,0.19116532368004543,0.29314228475519616,0.9999999987512083,1.488590154321545e-10,1.0999327246885208e-09,0.006689652340760667
199,2,0.03506329644406519,0.08781043462187989,0.09459668842934964,0.3098257387348125,0.9999383520597707,7.348588860870507e-06,5.429935136846959e-05,0.0036381993509163723
219,1,0.0267040078104145,0.10643326660523338,-0.021348423200285807,0.13276380970260537,0.9942003900599754,9.93402009843928e-09,0.0057996000060045365,0.002450961598640367
219,2,0.03465818037009558,0.22814851919582277,0.23554812423128518,0.30287851829825346,0.9984853859258549,0.00018054528450033264,0.0013340687896447735,0.0038848475240656067
239,1,0.029112374287810713,0.1726744728022865,0.11091823312601849,0.015661373903500645,0.6386875965262007,1.540953776645497e-07,0.3613122493784216,0.0040715085581047245
239,2,0.03702028097889102,0.272412933284206,0.25271988746850926,0.22967472221719995,0.999995367161963,5.522456919205959e-07,4.080592344982341e-06,0.004092413199891464
259,1,0.03479064324118694,0.3525990523794237,0.24326836437021238,0.002815742325685893,2.8595821123592508e-05,0.9999713846621869,1.9516689457283272e-08,0.004480403960381724
259,2,0.044328138579273965,0.228712697885527,0.003292966008836218,-0.0841450730677881,0.0002362119665482257,0.9996574809970795,0.00010630703637218582,0.005307872418547064
279,1,0.03765580811194333,0.40990806621364406,0.2170960524032289,-0.010114419856548235,9.753079172388617e-20,1.0,4.824660353171938e-24,0.004490726784194592
279,2,0.030947931191478244,0.45517492110932617,0.2510635911972777,0.07301762286850615,0.9988809558900137,0.0009776242480149604,0.00014141986197131523,0.0019077581481336625
299,1,0.03865600290215975,0.45507912854144245,0.11733809312593135,-0.1708259824002644,7.562276488573167e-18,1.0,2.4643337210876207e-20,0.007187373333243353
299,2,0.0453769994564787,0.48046416251924995,0.1248620754575082,-0.18332472166092903,1.4853969805840947e-38,1.0,4.634870648245634e-40,0.008051659895202647
319,1,0.043439350708713666,0.636951055290852,0.3189972184004966,0.12164793583763277,6.583534965471964e-14,0.9999999999999343,4.665955735545698e-23,0.005505660452432374
319,2,0.037752655657417464,0.5931439336573402,0.2836171608623417,-0.030687986872195205,0.9998245205812513,0.00017547930599205264,1.1275657301864368e-10,0.0050101250458147685
339,1,0.06436708453309617,0.7343571062686337,0.43115870655398736,0.15702774472425346,0.9999999324516885,6.754831143343301e-08,9.915190911641115e-20,0.007030719906239392
339,2,0.037762643682999246,0.5824562138882331,0.31729083910849726,0.22732626627171548,0.7751420163131569,0.22485548916876638,2.494518076785969e-06,0.001635090544803692
