Time,Sample,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax
159,1,0.030364686522620213,-0.01619700453472883,-0.14423050900797305,-0.17378775121226422,0.015998020751026663,2.6571692418441258e-06,0.9839993220797315,0.001719350333196058
159,2,0.03098562363904607,0.0572607385585061,-0.13362034613321985,-0.2490564764419118,0.20277593212990258,0.031578931968383114,0.7656451359017143,0.002001278452105748
179,1,0.031588312973997654,-0.021659167549599626,-0.06909874349715392,-0.1394462785936128,0.0007377652776489654,4.632841230673388e-11,0.9992622346760227,0.0018131318727624688
179,2,0.032725089346461914,0.08610324085821865,-0.142432401072918,-0.2111478660679929,5.817714432055366e-12,0.9999999999911917,2.9905999861842996e-12,0.004013041899080311
199,1,0.04268880611756888,-0.3883902896727234,0.0002919903672125588,-0.1236657611935639,6.507239879957027e-10,0.9999739655549442,2.6033794331811894e-05,0.003742404138094757
199,2,0.033766603512176356,-0.17141316605821433,-0.08375880703542274,0.02803264610254533,3.866517098072391e-12,0.9999998249583408,1.7503779274732014e-07,0.0020704767539363824
219,1,0.04010204351456732,-0.40834283992503273,0.06242817410684899,-0.16968458188195024,1.9655783284808643e-15,0.9999999975073093,2.492688813868927e-09,0.002607733403955557
219,2,0.04435008749084892,-0.3792747723284742,-0.02016400467373944,-0.12994534420323228,3.59261446489733e-20,0.9999999999999507,4.9282007047166244e-14,0.0032904370152800084
239,1,0.04523994860130013,-0.507849797248783,0.09336735859083752,-0.12111746177395293,1.3048474762268312e-22,1.0,8.572167314042815e-18,0.005298966432999733
239,2,0.04879952864221263,-0.48461240591920157,0.10798875544074413,-0.005063492995419268,1.8222034398715247e-23,1.0,2.366636601959089e-18,0.0034414975315516243
259,1,0.0464699869557336,-0.5271307693152547,0.10915249541617243,-0.030621787971799708,2.6195336655920148e-23,1.0,6.576432135609121e-18,0.0042725171975569465
259,2,0.039549334516682924,-0.44195903016345056,0.16191476031053265,-0.03563571961753488,1.5194600895007133e-17,0.9999999999907332,9.266762837809223e-12,0.0027197306130539163
279,1,0.05844826299791595,-0.6030578555896112,0.26922217217320044,-0.11094240523930818,3.5751659768939948e-31,1.0,1.029828852012406e-25,0.00416800311651726
279,2,0.054811375108534316,-0.6124809757419939,0.2282985093912361,-0.12484134718280243,3.299778907779521e-25,1.0,3.355926846186414e-20,0.0038361427547744767
299,1,0.06274332321806517,-0.6610720399551424,0.3605508757711307,-0.22119793973917254,3.0529319572878154e-25,1.0,8.091465612444185e-22,0.009334753696259033
299,2,0.054471584589535195,-0.6067016190928234,0.19885736289147563,-0.06587107731994506,1.8833761519873302e-20,0.9999999999999989,1.150134425617127e-15,0.003957863785889563
319,1,0.05957736509735413,-0.6720258616576501,0.4545132897878566,-0.2691488729054418,6.406416436465618e-38,1.0,7.270369819796536e-34,0.006545979355810457
319,2,0.06727533385643261,-0.6894697936563888,0.4669550977456039,-0.30450499628184385,1.7953684059315532e-30,1.0,8.554892299750621e-27,0.007578354548929957
