Time,Frequency,Empirical
399.0,-3.141592653589793,0.00012417674076630933
399.0,-3.0630528372500487,0.0002296506107482563
399.0,-2.9845130209103035,0.00038554525432752215
399.0,-2.9059732045705586,0.000436715583179111
399.0,-2.827433388230814,0.0003577674609053929
399.0,-2.748893571891069,0.0003350352722966369
399.0,-2.6703537555513246,0.0007938502732800373
399.0,-2.5918139392115793,0.0008955933072767909
399.0,-2.5132741228718345,0.0005520388933282799
399.0,-2.4347343065320897,0.0005456633279147445
399.0,-2.356194490192345,0.0005975659105356104
399.0,-2.2776546738526005,0.0005815577434867035
399.0,-2.199114857512855,0.0007420484247802133
399.0,-2.1205750411731104,0.00046122969521163865
399.0,-2.0420352248333655,0.0003756881765091166
399.0,-1.9634954084936207,0.00046755903739074066
399.0,-1.884955592153876,0.0005473342763154751
399.0,-1.8064157758141313,0.0005601778082421619
399.0,-1.7278759594743864,0.0004838176433260157
399.0,-1.6493361431346414,0.0004996982707387759
399.0,-1.5707963267948966,0.0005712819075229556
399.0,-1.4922565104551517,0.0004251205568896088
399.0,-1.413716694115407,0.0006529249997625258
399.0,-1.3351768777756623,0.0008885293187599906
399.0,-1.2566370614359172,0.0008253654471593612
399.0,-1.1780972450961724,0.0006877217627042661
399.0,-1.0995574287564276,0.000829302360244269
399.0,-1.0210176124166828,0.0009137758852222976
399.0,-0.942477796076938,0.000748964053506693
399.0,-0.8639379797371932,0.0008928913431104473
399.0,-0.7853981633974483,0.00065956321681295
399.0,-0.7068583470577035,0.0011775773631536616
399.0,-0.6283185307179586,0.002451344154982094
399.0,-0.5497787143782138,0.0019874312732310407
399.0,-0.471238898038469,0.001155974518500304
399.0,-0.39269908169872414,0.0015756293806593223
399.0,-0.3141592653589793,0.002307738676188985
399.0,-0.2356194490192345,0.0017193560306827038
399.0,-0.15707963267948966,0.0010983649023419474
399.0,-0.07853981633974483,0.0007705362117934318
399.0,0.0,0.0004951008397207329
399.0,0.07853981633974483,0.0007705362117934318
399.0,0.15707963267948966,0.0010983649023419474
399.0,0.2356194490192345,0.0017193560306827038
399.0,0.3141592653589793,0.002307738676188985
399.0,0.39269908169872414,0.0015756293806593223
399.0,0.471238898038469,0.001155974518500304
399.0,0.5497787143782138,0.0019874312732310407
399.0,0.6283185307179586,0.002451344154982094
399.0,0.7068583470577035,0.0011775773631536616
399.0,0.7853981633974483,0.00065956321681295
399.0,0.8639379797371932,0.0008928913431104473
399.0,0.942477796076938,0.000748964053506693
399.0,1.0210176124166828,0.0009137758852222976
399.0,1.0995574287564276,0.000829302360244269
399.0,1.1780972450961724,0.0006877217627042661
399.0,1.2566370614359172,0.0008253654471593612
399.0,1.3351768777756623,0.0008885293187599906
399.0,1.413716694115407,0.0006529249997625258
399.0,1.4922565104551517,0.0004251205568896088
399.0,1.5707963267948966,0.0005712819075229556
399.0,1.6493361431346414,0.0004996982707387759
399.0,1.7278759594743864,0.0004838176433260157
399.0,1.8064157758141313,0.0005601778082421619
399.0,1.884955592153876,0.0005473342763154751
399.0,1.9634954084936207,0.00046755903739074066
399.0,2.0420352248333655,0.0003756881765091166
399.0,2.1205750411731104,0.00046122969521163865
399.0,2.199114857512855,0.0007420484247802133
399.0,2.2776546738526005,0.0005815577434867035
399.0,2.356194490192345,0.0005975659105356104
399.0,2.4347343065320897,0.0005456633279147445
399.0,2.5132741228718345,0.0005520388933282799
399.0,2.5918139392115793,0.0008955933072767909
399.0,2.6703537555513246,0.0007938502732800373
399.0,2.748893571891069,0.0003350352722966369
399.0,2.827433388230814,0.0003577674609053929
399.0,2.9059732045705586,0.000436715583179111
399.0,2.9845130209103035,0.00038554525432752215
399.0,3.0630528372500487,0.0002296506107482563
399.0,3.141592653589793,0.00012417674076630933
419.0,-3.141592653589793,0.000335068726758648
419.0,-3.0630528372500487,0.000272551564647883
419.0,-2.9845130209103035,0.00021202082023009906
419.0,-2.9059732045705586,0.0001721127633399372
419.0,-2.827433388230814,0.00023790485134566098
419.0,-2.748893571891069,0.0003527593499228365
419.0,-2.6703537555513246,0.00034778701101261347
419.0,-2.5918139392115793,0.0005350910996126177
419.0,-2.5132741228718345,0.0006113592959827604
419.0,-2.4347343065320897,0.00035826178000268496
419.0,-2.356194490192345,0.00029657361604741594
419.0,-2.2776546738526005,0.0004301377280877759
419.0,-2.199114857512855,0.0004041289877585259
419.0,-2.1205750411731104,0.0006389274845391722
419.0,-2.0420352248333655,0.0005587359237338643
419.0,-1.9634954084936207,0.0005610851424171824
419.0,-1.884955592153876,0.0005112923989108138
419.0,-1.8064157758141313,0.00025119623991392225
419.0,-1.7278759594743864,0.00016259837353151628
419.0,-1.6493361431346414,0.00031563466753498635
419.0,-1.5707963267948966,0.000729670217887073
419.0,-1.4922565104551517,0.0008918506692828167
419.0,-1.413716694115407,0.0011750864207221128
419.0,-1.3351768777756623,0.0005084813653445345
419.0,-1.2566370614359172,0.0005167394643203753
419.0,-1.1780972450961724,0.0008740642291979595
419.0,-1.0995574287564276,0.0007591624451262617
419.0,-1.0210176124166828,0.0010111589093594817
419.0,-0.942477796076938,0.0013341847645225076
419.0,-0.8639379797371932,0.001127606749554852
419.0,-0.7853981633974483,0.0016342746042670305
419.0,-0.7068583470577035,0.0011970755674530565
419.0,-0.6283185307179586,0.001428660287240753
419.0,-0.5497787143782138,0.0014164941957053971
419.0,-0.471238898038469,0.0012378032549787152
419.0,-0.39269908169872414,0.001159684045776877
419.0,-0.3141592653589793,0.0013757184206265132
419.0,-0.2356194490192345,0.0015910330196400855
419.0,-0.15707963267948966,0.0011799788731340593
