,Quantile,Time,State variable,Smoothing,Residuals,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,AIC fold,AIC hopf,AIC null,Smax,Smax/Var
0,0.05,499,-0.17807718332458455,-0.08071330835678933,-0.1495160945690744,0.037967827900083,0.2259533668258544,0.014255356982645049,-0.05101840725813958,0.9999999902632585,6.545781743352169e-29,4.7039504963299495e-18,0.0015227467885429368,0.03895781026104393
1,0.05,519,-0.29570630617197136,-0.11127496432332926,-0.2795049871674282,0.03710624378420674,0.21154750028589947,0.012170187193682989,-0.1135326132315933,0.44993633868348915,3.095814480111768e-24,1.710940936384968e-20,0.0014387904141609624,0.03734806074551854
2,0.05,539,-0.36077726118979514,-0.17533916923641188,-0.2898107866083772,0.03608109260908031,0.26561336527731805,0.07083933813933016,-0.08578747122415677,0.44981831325214594,1.832367417415405e-23,2.3639958023146474e-16,0.0014968296721325765,0.040026780959982466
3,0.05,559,-0.30080538261793,-0.1268115036949998,-0.2597599492011979,0.03329959002779999,0.20286666990238833,-0.011540913217154124,-0.05629103366126942,0.9994970462037742,2.227530667617928e-28,4.1732873502233133e-17,0.0013880035287368452,0.04078168788496893
4,0.05,579,-0.3328670580577065,-0.17858160752580496,-0.24135035090018375,0.034986273417995234,0.2961412241146215,0.10093324041223899,-0.023044306454140663,0.4500045266527295,5.104701236026136e-28,3.351856053859333e-23,0.0014960005731789888,0.04096989978312929
5,0.05,599,-0.06711101647562079,-0.018184943711191698,-0.17695886161243252,0.03656010611503695,0.24824301295873383,0.036003076922731414,-0.08083315820709669,0.996144860471431,3.895161924068542e-28,4.329420708612871e-25,0.0017289127909384519,0.04559220585296636
6,0.05,619,-0.21547034960839057,-0.13700572282156753,-0.2320158293916887,0.0372641296909722,0.28910924363400414,0.061720514514295076,-0.06591500898131937,0.9999972131919335,6.776450442499265e-29,4.465586564497769e-21,0.0016656441092845367,0.043772982304920174
7,0.05,639,-0.1615796025364089,-0.1003860555775967,-0.1994017805093147,0.03441139226887159,0.2902871590397227,0.07896630573581037,-0.056321802110575726,0.47122580494744093,2.156057226363423e-26,6.014320052299254e-23,0.0016178353739224362,0.04063805888495717
8,0.05,659,-0.24959542867971046,-0.04277795327132382,-0.2988909735456508,0.03736106058911287,0.3062737288466287,0.11591301652432076,0.0019287946723040754,0.9999999943484226,3.375452229998053e-23,2.555026965522102e-21,0.0019295190012264618,0.04996109301137773
9,0.05,679,-0.28971194354898905,-0.13963379466707754,-0.3008588259281874,0.03681679454171089,0.328055880898412,0.08381366705527998,-0.05329345491625041,0.449981828265236,1.65167558311233e-19,1.9062512967407857e-21,0.0016577638651136123,0.041325550082182146
10,0.05,699,-0.23525479434064034,-0.11640852449863534,-0.16702328226829385,0.038304158157954835,0.3228794636907002,0.09762196651337299,-0.07237367771063434,0.9999901719391648,1.873650960102467e-26,1.7916412052797935e-26,0.0019209498254995645,0.0490617183493085
11,0.05,719,-0.16972028753353097,-0.04326858260685172,-0.18001570965498295,0.03714141892218134,0.34260243542808755,0.10080560972168277,-0.03466785126455228,0.4520660475403538,9.770883329645148e-22,2.5570799805272113e-23,0.0018407859269259376,0.04645423078402976
12,0.05,739,-0.29069033000915745,-0.09123145650404763,-0.2382569359589547,0.040054470602421094,0.40900706748649507,0.11752755113089987,-0.0544271212615603,0.9999905448120929,9.640154646051145e-30,2.1273355075618237e-31,0.0018643001448418262,0.045028180152752145
