Time,Frequency,Empirical
559.0,1.2566370614359172,0.0003746433733727408
559.0,1.3351768777756623,0.0005070443616611546
559.0,1.413716694115407,0.0009741060034910503
559.0,1.4922565104551517,0.0007368764002635396
559.0,1.5707963267948966,0.0004125671987500275
559.0,1.6493361431346414,0.00045236842310262594
559.0,1.7278759594743864,0.0006254817982734319
559.0,1.8064157758141313,0.00037828400310406307
559.0,1.884955592153876,0.0007256956598076498
559.0,1.9634954084936207,0.0008963607470225349
559.0,2.0420352248333655,0.0008949040026548996
559.0,2.1205750411731104,0.0008995710798835759
559.0,2.199114857512855,0.0008696614790207382
559.0,2.2776546738526005,0.0008602075862386428
559.0,2.356194490192345,0.0007624352610273557
559.0,2.4347343065320897,0.0007957593792916774
559.0,2.5132741228718345,0.0010306752786032227
559.0,2.5918139392115793,0.001323873840059744
559.0,2.6703537555513246,0.0019051267894736393
559.0,2.748893571891069,0.00132457211424553
559.0,2.827433388230814,0.0010387809961615515
559.0,2.9059732045705586,0.0010604758455520652
559.0,2.9845130209103035,0.0009526582568212492
559.0,3.0630528372500487,0.0007370814389596987
559.0,3.141592653589793,0.00031983113294599224
579.0,-3.141592653589793,0.00038158097562147506
579.0,-3.0630528372500487,0.0007830213495383376
579.0,-2.9845130209103035,0.0008005466653575156
579.0,-2.9059732045705586,0.0010609291308014506
579.0,-2.827433388230814,0.0010102185200894613
579.0,-2.748893571891069,0.0010783215232670913
579.0,-2.6703537555513246,0.001693405265505584
579.0,-2.5918139392115793,0.001391954793740083
579.0,-2.5132741228718345,0.0012346442337791428
579.0,-2.4347343065320897,0.0008963169413314528
579.0,-2.356194490192345,0.0008621722556078815
579.0,-2.2776546738526005,0.0006679250315553872
579.0,-2.199114857512855,0.0008275007060750303
579.0,-2.1205750411731104,0.0010723974406458274
579.0,-2.0420352248333655,0.0007785220681778127
579.0,-1.9634954084936207,0.0005747028161443747
579.0,-1.884955592153876,0.0006242479650365565
579.0,-1.8064157758141313,0.0005695276935369303
579.0,-1.7278759594743864,0.0008134953610528877
579.0,-1.6493361431346414,0.0005260520892067371
579.0,-1.5707963267948966,0.00029975109650868604
579.0,-1.4922565104551517,0.0005365192381545612
579.0,-1.413716694115407,0.0009468016364973061
579.0,-1.3351768777756623,0.00036913391498157413
579.0,-1.2566370614359172,0.00034854709792931596
579.0,-1.1780972450961724,0.0003324489876296323
579.0,-1.0995574287564276,0.0007223878112970085
579.0,-1.0210176124166828,0.00044849128467166203
579.0,-0.942477796076938,0.0006515008369667466
579.0,-0.8639379797371932,0.0010674497197806063
579.0,-0.7853981633974483,0.0010397288960999358
579.0,-0.7068583470577035,0.0009856111315061276
579.0,-0.6283185307179586,0.0007995307301988531
579.0,-0.5497787143782138,0.0005947281575526369
579.0,-0.471238898038469,0.0006553453392399996
579.0,-0.39269908169872414,0.0005235692493209029
579.0,-0.3141592653589793,0.0005612755547702802
579.0,-0.2356194490192345,0.0003615763377521151
579.0,-0.15707963267948966,0.00027260617432150417
579.0,-0.07853981633974483,0.00037222630457680195
579.0,0.0,0.00015909135925111788
579.0,0.07853981633974483,0.00037222630457680195
579.0,0.15707963267948966,0.00027260617432150417
579.0,0.2356194490192345,0.0003615763377521151
579.0,0.3141592653589793,0.0005612755547702802
579.0,0.39269908169872414,0.0005235692493209029
579.0,0.471238898038469,0.0006553453392399996
579.0,0.5497787143782138,0.0005947281575526369
579.0,0.6283185307179586,0.0007995307301988531
579.0,0.7068583470577035,0.0009856111315061276
579.0,0.7853981633974483,0.0010397288960999358
579.0,0.8639379797371932,0.0010674497197806063
579.0,0.942477796076938,0.0006515008369667466
579.0,1.0210176124166828,0.00044849128467166203
579.0,1.0995574287564276,0.0007223878112970085
579.0,1.1780972450961724,0.0003324489876296323
579.0,1.2566370614359172,0.00034854709792931596
579.0,1.3351768777756623,0.00036913391498157413
579.0,1.413716694115407,0.0009468016364973061
579.0,1.4922565104551517,0.0005365192381545612
579.0,1.5707963267948966,0.00029975109650868604
579.0,1.6493361431346414,0.0005260520892067371
579.0,1.7278759594743864,0.0008134953610528877
579.0,1.8064157758141313,0.0005695276935369303
579.0,1.884955592153876,0.0006242479650365565
579.0,1.9634954084936207,0.0005747028161443747
579.0,2.0420352248333655,0.0007785220681778127
579.0,2.1205750411731104,0.0010723974406458274
579.0,2.199114857512855,0.0008275007060750303
579.0,2.2776546738526005,0.0006679250315553872
579.0,2.356194490192345,0.0008621722556078815
579.0,2.4347343065320897,0.0008963169413314528
579.0,2.5132741228718345,0.0012346442337791428
579.0,2.5918139392115793,0.001391954793740083
579.0,2.6703537555513246,0.001693405265505584
579.0,2.748893571891069,0.0010783215232670913
579.0,2.827433388230814,0.0010102185200894613
579.0,2.9059732045705586,0.0010609291308014506
579.0,2.9845130209103035,0.0008005466653575156
579.0,3.0630528372500487,0.0007830213495383376
579.0,3.141592653589793,0.00038158097562147506
599.0,-3.141592653589793,0.00021529406458905092
599.0,-3.0630528372500487,0.0007142896669732106
599.0,-2.9845130209103035,0.0012193779488920758
599.0,-2.9059732045705586,0.0012147382669711122
599.0,-2.827433388230814,0.000954430360985545
599.0,-2.748893571891069,0.0011796340823370768
599.0,-2.6703537555513246,0.001920888044018682
599.0,-2.5918139392115793,0.0013396022565941204
599.0,-2.5132741228718345,0.0010923303082659187
599.0,-2.4347343065320897,0.0008567687012140776
599.0,-2.356194490192345,0.0007224554189031118
599.0,-2.2776546738526005,0.0009984969485008965
599.0,-2.199114857512855,0.0011383676773411055
599.0,-2.1205750411731104,0.0008892652769406777
599.0,-2.0420352248333655,0.0007629861739321446
599.0,-1.9634954084936207,0.0006277091527610815
599.0,-1.884955592153876,0.0007723361889536442
599.0,-1.8064157758141313,0.0005532351913320046
599.0,-1.7278759594743864,0.0007905696073338289
599.0,-1.6493361431346414,0.00035670026453610726
599.0,-1.5707963267948966,0.0005497507078394286
599.0,-1.4922565104551517,0.0007310975650151189
599.0,-1.413716694115407,0.0009088997096887509
599.0,-1.3351768777756623,0.0005175420465071815
599.0,-1.2566370614359172,0.00038707246278839335
599.0,-1.1780972450961724,0.0004858634086744375
599.0,-1.0995574287564276,0.0006609850847548826
599.0,-1.0210176124166828,0.0005768075002244881
599.0,-0.942477796076938,0.0005430811886821316
599.0,-0.8639379797371932,0.0008853969227285623
599.0,-0.7853981633974483,0.000895918443866731
599.0,-0.7068583470577035,0.0009132052670658398
