Realisation number,Variable,index,Variance,Coefficient of variation,Skewness,Lag-1 AC
90,x,0,-0.3465179886387545,0.6604249947401641,0.42394277298548283,-0.17062907637281718
91,x,0,-0.5602777193351567,0.612876078266358,-0.3052808752366926,0.7609930570166211
92,x,0,-0.08100147275405008,0.7824531874605513,-0.24384599200504944,0.8110666947191247
93,x,0,-0.6200294550810015,0.7353250578581948,0.4361455922575216,0.3810225120976226
94,x,0,-0.4925310330317694,0.5943614559225752,-0.5097832947612035,0.7563644014306754
95,x,0,0.14538186408584056,0.7731958762886598,-0.7723543025457605,0.6932463707132338
96,x,0,0.4327792972859247,0.8156953503050706,0.30612244897959184,0.8880706921944036
97,x,0,-0.2960235640648012,0.842204923206396,-0.17441615821586368,0.5548074900063118
98,x,0,0.6061434883231643,0.8615611192930781,-0.739532926572691,0.8569324637071324
99,x,0,-0.2152324847464759,0.7929728592467915,0.6343362087102883,0.8333683989059543
100,x,0,0.27961287607826635,0.8602987586787293,-0.7748790237744583,0.4874815905743741
